Ranking,Name,Score,Number of Scores
187,背靠背，脸对脸,9.5,130776
188,爆裂鼓手,8.7,582865
189,无敌破坏王,8.7,532143
190,无间道2,8.7,472975
191,心灵奇旅,8.7,969464
192,贫民窟的百万富翁,8.6,739948
193,冰川时代,8.6,607296
194,恐怖游轮,8.5,853063
195,东邪西毒,8.6,572589
196,牯岭街少年杀人事件,8.9,296473
197,魔女宅急便,8.7,455589
198,遗愿清单,8.7,455917
199,东京教父,9.0,226822
200,你看起来好像很好吃,8.9,330357
201,真爱至上,8.6,727179
202,大佛普拉斯,8.7,451326
203,黑天鹅,8.6,774306
204,可可西里,8.9,300758
205,城市之光,9.3,144622
206,源代码,8.5,827902
207,雨人,8.7,400666
208,恋恋笔记本,8.5,664136
209,海边的曼彻斯特,8.6,531351
210,初恋这件小事,8.5,974559
211,人工智能,8.7,441336
212,波西米亚狂想曲,8.6,598043
213,虎口脱险,8.9,254504
214,青蛇,8.6,521688
215,终结者2：审判日,8.8,338989
216,疯狂的麦克斯4：狂暴之路,8.7,525237
217,罗生门,8.8,311514
218,萤火虫之墓,8.7,402484
219,新龙门客栈,8.7,440059
220,千钧一发,8.8,295188
221,崖上的波妞,8.6,491192
222,无耻混蛋,8.6,472538
223,末路狂花,8.9,250347
224,奇迹男孩,8.6,547548
225,彗星来的那一夜,8.6,572672
226,二十二,8.7,289586
227,花束般的恋爱,8.6,610039
228,黑客帝国2：重装上阵,8.7,403007
229,爱乐之城,8.4,885690
230,血钻,8.7,376654
231,房间,8.8,365653
232,战争之王,8.7,365357
233,步履不停,8.8,277187
234,魂断蓝桥,8.8,276124
235,芙蓉镇,9.3,134657
236,火星救援,8.5,719169
237,哈利·波特与死亡圣器(上),8.5,566320
238,千年女优,8.8,263810
239,谍影重重2,8.7,349002
240,弱点,8.7,304333
241,阿飞正传,8.5,506664
242,燃情岁月,8.8,284469
243,谍影重重,8.6,421803
244,朗读者,8.6,450532
245,再次出发之纽约遇见你,8.6,423612
246,白日梦想家,8.6,467316
247,哈利·波特与凤凰社,8.5,559086
248,香水,8.5,540374
249,蜘蛛侠：平行宇宙,8.6,645038
250,穿越时空的少女,8.6,378838
